iter	Passed	Remaining
0	154	231964
1	283	212282
2	415	207349
3	533	199681
4	660	197379
5	816	203247
6	929	198155
7	1042	194417
8	1149	190503
9	1280	190740
10	1341	181577
11	1464	181546
12	1579	180660
13	1697	180143
14	1821	180326
15	1945	180405
16	2079	181396
17	2200	181202
18	2335	182009
19	2456	181755
20	2583	181975
21	2707	181897
22	2840	182405
23	2974	182939
24	3086	182080
25	3205	181748
26	3333	181878
27	3442	180982
28	3572	181189
29	3699	181278
30	3831	181578
31	3946	181064
32	4064	180702
33	4179	180201
34	4303	180139
35	4426	180030
36	4546	179755
37	4657	179182
38	4772	178794
39	4889	178483
40	5010	178290
41	5141	178496
42	5257	178152
43	5379	178006
44	5507	178072
45	5625	177812
46	5745	177619
47	5867	177478
48	5996	177567
49	6122	177560
50	6241	177329
51	6356	177000
52	6490	177209
53	6614	177119
54	6724	176660
55	6850	176656
56	6962	176259
57	7080	176023
58	7201	175896
59	7317	175630
60	7447	175687
61	7559	175341
62	7702	175682
63	7815	175367
64	7931	175100
65	8073	175412
66	8191	175205
67	8318	175176
68	8443	175104
69	8571	175100
70	8674	174599
71	8785	174237
72	8892	173835
73	8998	173410
74	9101	172929
75	9228	172918
76	9357	172922
77	9465	172556
78	9569	172130
79	9687	171948
80	9801	171704
81	9922	171591
82	10070	171930
83	10200	171954
84	10324	171864
85	10462	172030
86	10594	172072
87	10748	172466
88	10908	172941
89	11050	173121
90	11195	173352
91	11345	173627
92	11479	173679
93	11633	174003
94	11785	174302
95	11929	174475
96	12054	174357
97	12185	174326
98	12315	174286
99	12470	174587
100	12603	174572
101	12741	174639
102	12871	174576
103	13000	174509
104	13152	174745
105	13315	175110
106	13485	175560
107	13637	175769
108	13775	175798
109	13934	176080
110	14053	175857
111	14194	175912
112	14334	175944
113	14476	176001
114	14604	175891
115	14731	175765
116	14858	175638
117	15001	175698
118	15150	175822
119	15294	175885
120	15433	175887
121	15583	176021
122	15729	176089
123	15870	176110
124	16012	176142
125	16153	176154
126	16316	176393
127	16476	176606
128	16607	176499
129	16774	176779
130	16907	176693
131	17032	176518
132	17173	176509
133	17310	176458
134	17441	176355
135	17555	176068
136	17656	175663
137	17782	175505
138	17884	175116
139	18004	174901
140	18138	174823
141	18266	174692
142	18395	174565
143	18544	174631
144	18686	174623
145	18817	174511
146	18947	174393
147	19084	174340
148	19209	174176
149	19347	174128
150	19488	174109
151	19630	174095
152	19765	174010
153	19900	173939
154	20036	173868
155	20187	173922
156	20330	173906
157	20468	173856
158	20613	173853
159	20758	173851
160	20911	173915
161	21047	173835
162	21169	173639
163	21287	173413
164	21423	173336
165	21554	173215
166	21693	173155
167	21814	172959
168	21935	172755
169	22072	172686
170	22207	172596
171	22335	172450
172	22468	172345
173	22626	172429
174	22751	172262
175	22894	172229
176	23025	172104
177	23148	171923
178	23271	171738
179	23389	171520
180	23488	171170
181	23637	171175
182	23776	171113
183	23911	171017
184	24062	171037
185	24195	170932
186	24345	170936
187	24492	170929
188	24645	170956
189	24798	170980
190	24911	170730
191	25047	170636
192	25176	170492
193	25297	170301
194	25415	170087
195	25559	170047
196	25694	169946
197	25839	169917
198	25987	169899
199	26114	169743
200	26234	169545
201	26375	169479
202	26522	169453
203	26662	169382
204	26809	169356
205	26951	169294
206	27079	169145
207	27198	168944
208	27329	168812
209	27442	168577
210	27584	168510
211	27732	168488
212	27880	168463
213	28026	168419
214	28174	168391
215	28307	168272
216	28431	168100
217	28559	167951
218	28703	167893
219	28846	167831
220	28992	167787
221	29144	167778
222	29292	167743
223	29423	167611
224	29562	167522
225	29694	167390
226	29814	167196
227	29955	167119
228	30102	167074
229	30235	166952
230	30381	166901
231	30515	166784
232	30666	166755
233	30819	166741
234	30980	166765
235	31122	166692
236	31261	166596
237	31402	166511
238	31553	166482
239	31668	166261
240	31804	166148
241	31950	166089
242	32087	165985
243	32241	165963
244	32373	165831
245	32504	165692
246	32627	165514
247	32760	165389
248	32901	165300
249	33049	165249
250	33196	165189
251	33352	165173
252	33513	165181
253	33658	165111
254	33808	165063
255	33963	165042
256	34111	164984
257	34267	164964
258	34400	164828
259	34550	164779
260	34685	164654
261	34822	164543
262	34957	164418
263	35099	164331
264	35239	164229
265	35379	164131
266	35527	164067
267	35680	164025
268	35803	163845
269	35957	163804
270	36086	163653
271	36236	163595
272	36372	163477
273	36510	163365
274	36639	163213
275	36778	163103
276	36918	163001
277	37074	162968
278	37216	162872
279	37364	162801
280	37522	162777
281	37674	162722
282	37812	162606
283	37964	162552
284	38107	162456
285	38262	162413
286	38396	162281
287	38543	162205
288	38667	162028
289	38790	161848
290	38940	161781
291	39082	161685
292	39228	161601
293	39386	161566
294	39539	161509
295	39674	161378
296	39810	161251
297	39933	161073
298	40077	160980
299	40211	160847
300	40355	160752
301	40505	160679
302	40664	160645
303	40803	160529
304	40952	160453
305	41096	160357
306	41236	160243
307	41380	160148
308	41532	160080
309	41683	160011
310	41802	159817
311	41925	159639
312	42066	159530
313	42206	159418
314	42344	159297
315	42483	159180
316	42600	158979
317	42747	158893
318	42885	158769
319	43024	158651
320	43168	158552
321	43311	158450
322	43452	158340
323	43595	158237
324	43750	158173
325	43883	158034
326	44024	157924
327	44169	157825
328	44323	157760
329	44469	157665
330	44628	157616
331	44764	157486
332	44927	157447
333	45059	157304
334	45227	157283
335	45367	157165
336	45508	157050
337	45654	156952
338	45792	156829
339	45945	156756
340	46089	156649
341	46227	156523
342	46378	156444
343	46527	156354
344	46679	156275
345	46849	156254
346	46988	156131
347	47138	156046
348	47296	155982
349	47455	155923
350	47618	155879
351	47771	155800
352	47929	155736
353	48081	155654
354	48252	155631
355	48404	155546
356	48559	155473
357	48722	155421
358	48866	155311
359	49020	155231
360	49177	155160
361	49322	155052
362	49456	154909
363	49603	154808
364	49747	154694
365	49881	154552
366	50006	154379
367	50141	154238
368	50292	154147
369	50453	154086
370	50613	154023
371	50765	153935
372	50929	153881
373	51064	153739
374	51226	153678
375	51380	153593
376	51533	153505
377	51695	153446
378	51870	153421
379	52041	153385
380	52202	153319
381	52370	153272
382	52511	153145
383	52661	153046
384	52812	152951
385	52977	152893
386	53129	152797
387	53301	152762
388	53449	152653
389	53591	152528
390	53736	152413
391	53887	152314
392	54020	152164
393	54154	152016
394	54311	151933
395	54459	151825
396	54607	151719
397	54762	151630
398	54907	151512
399	55036	151351
400	55196	151273
401	55343	151162
402	55510	151105
403	55670	151027
404	55834	150961
405	55987	150862
406	56136	150754
407	56324	150752
408	56557	150865
409	56733	150827
410	56906	150781
411	57099	150787
412	57263	150714
413	57413	150605
414	57596	150583
415	57760	150510
416	57944	150489
417	58099	150391
418	58257	150301
419	58421	150227
420	58573	150120
421	58733	150035
422	58895	149953
423	59066	149894
424	59239	149841
425	59410	149781
426	59594	149754
427	59764	149690
428	59931	149619
429	60086	149517
430	60241	149415
431	60397	149314
432	60553	149215
433	60686	149060
434	60852	148984
435	61017	148904
436	61155	148761
437	61295	148620
438	61442	148498
439	61584	148362
440	61741	148263
441	61892	148150
442	62035	148016
443	62176	147878
444	62328	147767
445	62486	147669
446	62645	147574
447	62785	147433
448	62915	147270
449	63045	147107
450	63194	146987
451	63341	146863
452	63493	146749
453	63640	146624
454	63813	146559
455	63973	146465
456	64121	146343
457	64269	146219
458	64419	146101
459	64558	145957
460	64694	145808
461	64822	145639
462	64972	145521
463	65135	145431
464	65277	145295
465	65421	145161
466	65545	144986
467	65688	144851
468	65846	144749
469	66008	144657
470	66160	144541
471	66306	144412
472	66450	144279
473	66593	144144
474	66729	143995
475	66886	143890
476	67031	143759
477	67200	143679
478	67364	143588
479	67544	143531
480	67701	143425
481	67837	143274
482	67985	143148
483	68133	143023
484	68282	142901
485	68426	142765
486	68579	142651
487	68725	142520
488	68873	142393
489	69016	142258
490	69173	142150
491	69318	142018
492	69461	141881
493	69605	141746
494	69766	141647
495	69904	141499
496	70052	141373
497	70179	141203
498	70325	141074
499	70469	140938
500	70621	140820
501	70783	140720
502	70922	140576
503	71067	140443
504	71219	140324
505	71342	140147
506	71475	139990
507	71637	139890
508	71772	139737
509	71936	139641
510	72094	139532
511	72239	139400
512	72375	139247
513	72509	139094
514	72666	138983
515	72821	138868
516	72968	138739
517	73122	138623
518	73270	138494
519	73421	138371
520	73548	138203
521	73692	138068
522	73833	137926
523	73973	137782
524	74092	137600
525	74232	137458
526	74344	137261
527	74482	137115
528	74637	136999
529	74802	136902
530	74970	136809
531	75122	136689
532	75260	136541
533	75405	136407
534	75541	136257
535	75678	136107
536	75821	135970
537	75966	135836
538	76108	135696
539	76251	135558
540	76408	135444
541	76565	135331
542	76729	135230
543	76889	135122
544	77047	135009
545	77199	134886
546	77349	134761
547	77493	134624
548	77642	134495
549	77785	134357
550	77937	134233
551	78066	134070
552	78198	133913
553	78346	133782
554	78486	133639
555	78646	133529
556	78808	133421
557	78952	133284
558	79090	133137
559	79233	132999
560	79369	132848
561	79526	132732
562	79676	132605
563	79827	132480
564	79951	132308
565	80090	132163
566	80238	132032
567	80402	131927
568	80559	131812
569	80715	131694
570	80866	131566
571	81014	131436
572	81181	131336
573	81328	131201
574	81468	131058
575	81618	130929
576	81736	130750
577	81879	130610
578	82025	130475
579	82192	130373
580	82332	130230
581	82473	130086
582	82608	129935
583	82756	129803
584	82903	129670
585	83043	129525
586	83170	129361
587	83331	129249
588	83475	129110
589	83622	128976
590	83780	128859
591	83936	128739
592	84061	128572
593	84194	128417
594	84326	128261
595	84467	128117
596	84619	127992
597	84753	127838
598	84892	127692
599	85018	127528
600	85151	127373
601	85290	127227
602	85417	127063
603	85554	126915
604	85700	126780
605	85840	126635
606	85970	126477
607	86094	126310
608	86236	126169
609	86380	126030
610	86524	125892
611	86665	125750
612	86802	125601
613	86927	125436
614	87073	125301
615	87220	125167
616	87354	125014
617	87496	124873
618	87650	124749
619	87801	124622
620	87944	124481
621	88095	124352
622	88237	124212
623	88365	124051
624	88518	123926
625	88664	123790
626	88815	123662
627	88951	123512
628	89100	123380
